UUID,Downloads,References,Comments,Funding Support,Protocol Name,Series Description,System Vendor,System Model,System Field Strength,Receiver Bandwidth,Number of Channels,Coil Name,Institution Name,Matrix Size,Field Of View,Number of Averages,Number of Slices,Number of Phases,Number of Repetition,Number of Contrasts,Trajectory,Parallel Imaging Factor,Repetition Time,Echo Time,Inversion Time,Flip Angle,Sequence Type,Echo Spacing,Upload Date
413469fd-9354-400c-88e3-b29e7c711a05,2153,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,31,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:12 a.m."
6a8fff64-9bba-4ce7-aa58-d024214b4d7a,4757,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,31,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:12 a.m."
bd01dd30-46e7-4415-bf04-ed4cc6ac2b64,1162,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,33,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:11 a.m."
6493682f-c9d3-44a7-8c0f-7fdf8b165410,1090,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,33,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:10 a.m."
48c95dcf-c074-499b-a63c-74f0bf7dff1f,1141,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,32,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:09 a.m."
de6d23d9-b1c4-46af-bc79-ce828f5cd63a,1064,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,33,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:08 a.m."
e3573a0f-34f7-4718-827a-027bf9dd4dea,1064,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 672 x 1,280 mm x 245.1 mm x 4.5 mm,1,31,1,1,1,cartesian,2.0 x 1.0,2300 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:07 a.m."
a496da39-848a-4fe8-8954-ff63df6785cb,1035,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 768 x 1,280 mm x 280.3 mm x 4.5 mm,1,31,1,1,1,cartesian,2.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:07 a.m."
516288da-d22b-4e92-9282-96665134c84a,1018,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,32,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:06 a.m."
90bc0b15-eea2-4abb-b0d2-f3fdad57bb43,1048,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,35,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:05 a.m."
cafc2ace-a826-4344-8cf9-896ec8bc6120,887,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 676 x 1,280 mm x 246.1 mm x 4.5 mm,1,38,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:03 a.m."
936c76f0-b3af-41f0-9b2d-f468f6a71225,812,"Hammernik K, Klatzer T, Kobler E, Recht M, Sodickson D, Pock T, Knoll F. Learning a Variational Network for Reconstruction of Accelerated MRI Data. Magnetic Resonance in Medicine 79: 3055–3071 (2018)",This is part of the training and test data that was used for our 2017 MRM manuscript on learning a variational network to reconstruct accelerated MR data. The data accompanies the code repository at: https://github.com/VLOGroup/mri-variationalnetwork.,NIH P41 EB017183,SAG,SAG,SIEMENS,Skyra,2.89362 T,0.793,15,TxRx_15Ch_Knee:1:K5,HJD,768 x 770 x 1,280 mm x 280.7 mm x 4.5 mm,1,33,1,1,1,cartesian,1.0 x 1.0,2800 ms,22 ms,100 ms,150 °,TurboSpinEcho,11.12 ms,"Aug. 8, 2018, 7:02 a.m."
